0.004,19,407
0.008,3,423
0.014,1,425
0.015,1,425
0.015,1,425
0.009,1,425
0.004,18,407
0.015,1,425
0.008,1,425
0.015,1,425
0.007,4,422
0.009,3,423
0.005,3,423
0.007,1,425
0.009,1,425
0.004,14,412
0.005,9,417
0.007,2,424
0.004,14,410
0.009,1,425
0.001,243,23
0.009,2,424
0.01,1,425
0.004,15,409
0.005,7,419
0.009,1,425
0.01,1,425
0.001,241,19
0.004,18,407
0.009,1,425
0.01,1,425
0.01,1,425
0.012,1,425
0.01,2,424
0.009,1,425
0.01,1,425
0.006,2,424
0.01,2,424
0.009,1,425
0.01,1,425
0.012,1,425
0.01,1,425
0.011,1,425
0.01,2,424
0.01,1,425
0.01,2,424
0.01,1,425
0.01,1,425
0.01,1,425
0.006,2,424
0.011,1,425
0.008,2,424
0.012,1,425
0.011,1,425
0.004,18,408
0.01,1,425
0.01,1,425
0.005,5,421
0.01,1,425
0.001,248,26
0.011,1,425
0.011,1,425
0.011,1,425
0.009,1,425
0.002,103,272
0.011,1,425
0.003,45,373
0.011,1,425
0.011,1,425
0.003,36,388
0.014,1,425
0.003,32,390
0.006,4,422
0.012,1,425
0.014,1,425
0.012,1,425
0.014,1,425
0.012,1,425
0.015,1,425
0.012,1,425
0.011,1,425
0.012,1,425
0.012,1,425
0.012,1,425
0.012,1,425
0.012,1,425
0.014,1,425
0.012,1,425
0.012,1,425
0.012,1,425
0.007,1,425
0.005,11,415
0.013,1,425
0.006,5,421
0.012,1,425
0.006,4,422
0.012,1,425
0.012,1,425
0.012,1,425
0.012,1,425
0.013,1,425
0.001,259,18
0.006,6,420
0.005,7,419
0.013,1,425
0.013,1,425
0.012,1,425
0.007,3,423
0.013,1,425
0.013,1,425
0.008,1,425
0.005,8,418
0.013,1,425
0.013,1,425
0.008,1,425
0.006,5,421
0.007,2,424
0.014,1,425
0.013,1,425
0.014,1,425
0.014,1,425
0.013,1,425
0.013,1,425
0.003,36,382
0.006,2,424
0.006,3,423
0.013,1,425
0.006,7,419
0.004,16,408
0.007,2,424
0.013,1,425
0.005,4,422
0.014,1,425
0.014,1,425
0.008,1,425
0.006,7,418
0.014,1,425
0.014,1,425
0.014,1,425
0.008,2,424
0.015,1,425
0.015,1,425
0.015,1,425
0.007,1,425
0.014,1,425
0.008,1,425
0.015,1,425
0.005,7,419
0.015,1,425
0.015,1,425
0.009,1,425
0.015,1,425
0.005,4,422
0.008,2,424
0.015,1,425
0.004,11,414
0.004,10,415
0.015,1,425
0.007,2,424
0.008,3,423
0.009,1,425
0.008,1,425
0.007,2,424
0.015,1,425
0.009,1,425
0.009,1,425
0.009,1,425
0.005,7,419
0.009,1,425
0.015,1,425
0.007,3,423
0.015,1,425
0.009,2,424
0.015,1,425
0.008,2,424
0.005,8,418
0.015,1,425
0.01,1,425
0.008,1,425
0.009,2,424
0.009,1,425
0.011,1,425
0.012,1,425
0.011,1,425
0.011,1,425
0.01,1,425
0.005,6,420
0.005,7,419
0.011,1,425
0.012,1,425
0.004,18,407
0.011,1,425
0.013,1,425
0.013,1,425
0.014,1,425
0.013,1,425
0.01,1,425
0.014,1,425
0.013,1,425
0.013,1,425
0.013,1,425
0.013,1,425
0.014,1,425
0.013,1,425
0.013,1,425
0.014,1,425
0.014,1,425
0.015,1,425
0.015,1,425
0.007,2,424
0.014,1,425
0.015,1,425
0.003,41,376
0.011,1,425
0.015,1,425
0.006,1,425
0.013,1,425
0.015,1,425
0.013,1,425
0.015,1,425
0.013,1,425
0.011,1,425
0.004,11,414
