N	t_re	p_link	p_re	Omega	daylength	R[0]	R[1]	R[2]	delta	P[0]	P[1]	P[2]
100	5	0.05	0.011	0.261799	0	0.997833	0.994207	0.82002	0.04625	23.3725	23.3725	23.3725
100	5	0.05	0.012	0.261799	0	0.998386	0.994544	0.820309	0.04	23.4813	23.4819	23.4818
100	5	0.05	0.013	0.261799	0	0.998307	0.994474	0.82025	0.05175	23.5225	23.5169	23.518
100	5	0.05	0.014	0.261799	0	0.998421	0.995408	0.820981	0.048	23.5188	23.515	23.5158
100	5	0.05	0.015	0.261799	0	0.998475	0.995166	0.820795	0.02225	23.4638	23.4672	23.4665
100	5	0.05	0.016	0.261799	0	0.997791	0.994737	0.82043	0.0105	23.4	23.4069	23.4055
100	5	0.05	0.017	0.261799	0	0.997148	0.995379	0.820897	0.0085	23.485	23.4784	23.4798
100	5	0.05	0.018	0.261799	0	0.9971	0.99512	0.820693	0.35875	23.4975	23.5016	23.5008
100	5	0.05	0.019	0.261799	0	0.997824	0.994457	0.820214	0.0425	23.4413	23.4375	23.4383
100	5	0.05	0.02	0.261799	0	0.998443	0.995232	0.820845	0.05075	23.4388	23.4441	23.443
100	5	0.05	0.02	0.261799	0	1	inf	0.824621	0	0	0	0
100	5	0.05	0.02	0.261799	0	1	inf	0.824621	0	0	0	0
